population,record_id,owner,status,event_time,scope,source_locator
access,ACC-001,identity-team,active,2026-07-01T08:00:00Z,privileged,iam-export:2
access,ACC-002,identity-team,active,2026-07-01T08:00:00Z,privileged,iam-export:3
access,ACC-003,identity-team,disabled,2026-06-19T13:00:00Z,standard,iam-export:4
access,ACC-004,identity-team,active,2026-07-01T08:00:00Z,standard,iam-export:5
access,ACC-004,identity-team,active,2026-07-01T08:00:00Z,standard,iam-export:6
access,ACC-006,identity-team,active,2025-12-12T08:00:00Z,privileged,iam-export:7
training,TRN-101,people-team,complete,2026-03-04T10:00:00Z,employee,lms-export:2
training,TRN-102,people-team,incomplete,2026-03-04T10:00:00Z,employee,lms-export:3
training,TRN-103,people-team,complete,2026-03-04T10:00:00Z,contractor,lms-export:4
training,TRN-104,people-team,complete,2025-02-17T10:00:00Z,employee,lms-export:5
training,TRN-105,people-team,complete,2026-03-04T10:00:00Z,employee,lms-export:6
training,TRN-106,people-team,waived,2026-03-04T10:00:00Z,executive,lms-export:7
vulnerability,VUL-201,security-team,open,2026-06-01T06:00:00-04:00,critical,vuln-export:2
vulnerability,VUL-202,security-team,closed,2026-05-14T09:00:00Z,high,vuln-export:3
vulnerability,VUL-203,security-team,risk-accepted,2026-04-20T09:00:00Z,high,vuln-export:4
vulnerability,VUL-204,security-team,open,2026-07-01T09:00:00Z,medium,vuln-export:5
vulnerability,VUL-205,security-team,closed,2026-06-11T09:00:00Z,critical,vuln-export:6
vulnerability,VUL-206,security-team,open,2025-11-01T09:00:00Z,low,vuln-export:7
backup,BKP-301,platform-team,success,2026-07-12T01:00:00Z,database,backup-export:2
backup,BKP-302,platform-team,success,2026-07-12T02:00:00Z,file-store,backup-export:3
backup,BKP-303,platform-team,failed,2026-07-12T03:00:00Z,database,backup-export:4
backup,BKP-304,platform-team,success,2026-07-12T04:00:00Z,identity,backup-export:5
backup,BKP-305,platform-team,success,2026-07-12T05:00:00Z,source-code,backup-export:6
backup,BKP-306,platform-team,success,2026-07-12T06:00:00Z,database,backup-export:7
change,CHG-401,engineering,approved,2026-07-03T14:00:00Z,production,change-export:2
change,CHG-402,engineering,implemented,2026-07-04T14:00:00Z,production,change-export:3
change,CHG-403,engineering,emergency,2026-07-05T14:00:00Z,production,change-export:4
change,CHG-404,engineering,approved,2026-07-06T14:00:00Z,staging,change-export:5
change,CHG-405,engineering,rolled-back,2026-07-07T14:00:00Z,production,change-export:6
change,CHG-406,engineering,implemented,2026-07-08T14:00:00Z,production,change-export:7
