population,control_id,marker,algorithm_version,sample_size_rule,eligible_count,sample_size,record_id,included,reason_code,sample_manifest_hash
access,A.5.15,UBI-A7-ADFAFF62AD2E,marker-seeded-sha256-v1,"min(3,eligible_count)",5,3,ACC-001,True,selected,3a4402a19a2ad07ac622328ec12ff1475a8792f2aa5bfb970f9d6db5c945f92b
access,A.5.15,UBI-A7-ADFAFF62AD2E,marker-seeded-sha256-v1,"min(3,eligible_count)",5,3,ACC-002,True,selected,3a4402a19a2ad07ac622328ec12ff1475a8792f2aa5bfb970f9d6db5c945f92b
access,A.5.15,UBI-A7-ADFAFF62AD2E,marker-seeded-sha256-v1,"min(3,eligible_count)",5,3,ACC-003,True,selected,3a4402a19a2ad07ac622328ec12ff1475a8792f2aa5bfb970f9d6db5c945f92b
access,A.5.15,UBI-A7-ADFAFF62AD2E,marker-seeded-sha256-v1,"min(3,eligible_count)",5,3,ACC-004,False,not_selected,3a4402a19a2ad07ac622328ec12ff1475a8792f2aa5bfb970f9d6db5c945f92b
access,A.5.15,UBI-A7-ADFAFF62AD2E,marker-seeded-sha256-v1,"min(3,eligible_count)",5,3,ACC-004,False,duplicate_record_id,3a4402a19a2ad07ac622328ec12ff1475a8792f2aa5bfb970f9d6db5c945f92b
access,A.5.15,UBI-A7-ADFAFF62AD2E,marker-seeded-sha256-v1,"min(3,eligible_count)",5,3,ACC-006,False,not_selected,3a4402a19a2ad07ac622328ec12ff1475a8792f2aa5bfb970f9d6db5c945f92b
training,A.6.3,UBI-A7-ADFAFF62AD2E,marker-seeded-sha256-v1,"min(3,eligible_count)",6,3,TRN-101,False,not_selected,3a4402a19a2ad07ac622328ec12ff1475a8792f2aa5bfb970f9d6db5c945f92b
training,A.6.3,UBI-A7-ADFAFF62AD2E,marker-seeded-sha256-v1,"min(3,eligible_count)",6,3,TRN-102,False,not_selected,3a4402a19a2ad07ac622328ec12ff1475a8792f2aa5bfb970f9d6db5c945f92b
training,A.6.3,UBI-A7-ADFAFF62AD2E,marker-seeded-sha256-v1,"min(3,eligible_count)",6,3,TRN-103,False,not_selected,3a4402a19a2ad07ac622328ec12ff1475a8792f2aa5bfb970f9d6db5c945f92b
training,A.6.3,UBI-A7-ADFAFF62AD2E,marker-seeded-sha256-v1,"min(3,eligible_count)",6,3,TRN-104,True,selected,3a4402a19a2ad07ac622328ec12ff1475a8792f2aa5bfb970f9d6db5c945f92b
training,A.6.3,UBI-A7-ADFAFF62AD2E,marker-seeded-sha256-v1,"min(3,eligible_count)",6,3,TRN-105,True,selected,3a4402a19a2ad07ac622328ec12ff1475a8792f2aa5bfb970f9d6db5c945f92b
training,A.6.3,UBI-A7-ADFAFF62AD2E,marker-seeded-sha256-v1,"min(3,eligible_count)",6,3,TRN-106,True,selected,3a4402a19a2ad07ac622328ec12ff1475a8792f2aa5bfb970f9d6db5c945f92b
backup,A.8.13,UBI-A7-ADFAFF62AD2E,marker-seeded-sha256-v1,"min(3,eligible_count)",6,3,BKP-301,False,not_selected,3a4402a19a2ad07ac622328ec12ff1475a8792f2aa5bfb970f9d6db5c945f92b
backup,A.8.13,UBI-A7-ADFAFF62AD2E,marker-seeded-sha256-v1,"min(3,eligible_count)",6,3,BKP-302,True,selected,3a4402a19a2ad07ac622328ec12ff1475a8792f2aa5bfb970f9d6db5c945f92b
backup,A.8.13,UBI-A7-ADFAFF62AD2E,marker-seeded-sha256-v1,"min(3,eligible_count)",6,3,BKP-303,False,not_selected,3a4402a19a2ad07ac622328ec12ff1475a8792f2aa5bfb970f9d6db5c945f92b
backup,A.8.13,UBI-A7-ADFAFF62AD2E,marker-seeded-sha256-v1,"min(3,eligible_count)",6,3,BKP-304,True,selected,3a4402a19a2ad07ac622328ec12ff1475a8792f2aa5bfb970f9d6db5c945f92b
